address,species,sidewalk_condition,location
1278 E 84 ST,PLAC,Raised,"-73.90346, 40.631189"
1278 WARING AV,ULAM,Raised,"-73.850039, 40.861023"
1279 104 ST,PLAC,Raised,"-73.888513, 40.640848"
1279 Avenue M,PLAC,Raised,"-73.962083, 40.617776"
1279 BUSHWICK AV,GLTR,Raised,"-73.913547, 40.686885"
1279 BX AND PELHAM N,QU,Raised,"1.0, 1.0"
1279 E 100 ST,PLAC,Raised,"-73.891428, 40.638966"
1279 E 101 ST,ACSA1,Raised,"-73.890713, 40.639427"
1279 E 99 ST,ACPL,Raised,"-73.892141, 40.638505"
1279 EDISON AV,ACPL,Raised,"-73.829916, 40.837213"
1279 RICHMOND AV,PLAC,Raised,"-74.156286, 40.617186"
1279 WARING AV,ULAM,Raised,"-73.850039, 40.861023"
128 73 ST,PLAC,Raised,"-74.032555, 40.634099"
128 ALBANY AV,PLAC,Raised,"-73.938767, 40.676262"
128 AMITY ST,PLAC,Raised,"-73.996067, 40.689209"
128 AUTUMN AV,ULAM,Raised,"-73.871009, 40.687214"
128 CLARA ST,PLAC,Raised,"-73.984595, 40.642767"
128 E 39 ST,ACPL,Raised,"-73.941295, 40.654384"
128 E 88 ST,PLAC,Raised,"-73.919089, 40.649723"
128 E 93 ST,PLAC,Raised,"-73.926355, 40.661921"
128 HENRY ST,SOJA,Raised,"-73.993331, 40.696776"
128 LINCOLN AV,PLAC,NA,"-74.108291, 40.579169"
128 PACIFIC ST,PLAC,Raised,"-73.995668, 40.689847"
128 STERLING PL,PLAC,Raised,"-73.974091, 40.677237"
128 TOWNSEND AV,ACRU,Raised,"-74.075088, 40.618862"
128 WILLOW ST,SOJA,Raised,"-73.995919, 40.697157"
128 WINDSOR RD,PLAC,Raised,"-74.117605, 40.612102"
128 WOEHRLE AV,LIST,Raised,"-74.180449, 40.554137"
128 WOLVERINE ST,ACSA1,Raised,"-74.132643, 40.5677"
128-001 109 AV,ACSA1,Raised,"-73.814876, 40.684333"
128-001 109 AV,ACPL,Raised,"-73.814876, 40.684333"
128-001 116 AV,GLTR,Raised,"-73.810833, 40.677513"
128-002 115 AV,ACPS,Raised,"-73.811672, 40.679266"
128-002 142 ST,ACSA1,Raised,"-73.798375, 40.672511"
128-003 135 AV,ACRU,Raised,"-73.811688, 40.668881"
128-003 157 ST,QUPA,Raised,"-73.782591, 40.675251"
128-003 234 ST,ACPL,Raised,"-73.7322, 40.682731"
128-005 109 AV,ACPL,Raised,"-73.814852, 40.684336"
128-005 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
128-006 115 AV,PLAC,Raised,"-73.811634, 40.679276"
128-007 116 AV,UNKNOWN,Raised,"-73.810777, 40.677529"
128-009 115 AV,ACPL,Raised,"-73.811615, 40.679282"
128-011 116 AV,ACPL,Raised,"-73.810739, 40.67754"
128-011 135 AV,ACSA1,Raised,"-73.811616, 40.668868"
128-011 INWOOD ST,QUPA,Raised,"-73.792993, 40.671853"
128-011 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
128-012 146 ST,QUPA,Raised,"-73.792129, 40.671616"
128-013 142 ST,ACPL,Raised,"-73.798366, 40.672452"
128-013 INWOOD ST,QUPA,Raised,"-73.793, 40.671822"
128-014 146 ST,QUPA,Raised,"-73.792136, 40.671586"
128-014 LAURELTON PKWY,PLAC,Raised,"-73.72828, 40.68156"
128-015 130 AV,QUPA,Raised,"-73.748185, 40.684959"
128-015 INWOOD ST,QUPA,Raised,"-73.793008, 40.67179"
128-015 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
128-016 147 ST,ACPL,Raised,"-73.79126, 40.671435"
128-016 INWOOD ST,QUPA,Raised,"-73.793015, 40.671759"
128-017 115 AV,ACPL,Raised,"-73.811541, 40.679303"
128-018 140 ST,ACSA1,Raised,"-73.79986, 40.672455"
128-018 LAURELTON PKWY,PLAC,Raised,"-73.728326, 40.681507"
128-019 NORTH CONDUIT BLVD,QUPA,Raised,"-73.811908, 40.667166"
128-019 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
128-020 140 ST,ACPL,Raised,"-73.79986, 40.672455"
128-020 148 ST,ACRU,Raised,"-73.790384, 40.671251"
128-020 INWOOD ST,QUPA,Raised,"-73.79303, 40.671696"
128-021 115 AV,ACPL,Raised,"-73.811503, 40.679313"
128-022 147 ST,ACPL,Raised,"-73.791281, 40.671347"
128-023 VAN WYCK EP,PLAC,Raised,"1.0, 1.0"
128-024 LAURELTON PKWY,ACPL,Raised,"-73.728393, 40.681428"
128-026 F LEWIS BLVD,ACPL,Raised,"1.0, 1.0"
128-026 INWOOD ST,QUPA,Raised,"-73.793052, 40.671602"
128-027 INWOOD ST,QUPA,Raised,"-73.793052, 40.671602"
128-029 BROOKVILLE BLVD,ACSA1,Raised,"-73.727518, 40.680894"
128-029 INWOOD ST,QUPA,Raised,"-73.79306, 40.67157"
128-030 148 ST,ACPS,Raised,"-73.790418, 40.671104"
128-033 INWOOD ST,QUPA,Raised,"-73.793075, 40.671507"
128-035 130 AV,QUPA,Raised,"-73.747995, 40.684937"
128-035 INWOOD ST,QUPA,Raised,"-73.793082, 40.671476"
128-036 148 ST,ACSA1,Raised,"-73.790439, 40.671016"
128-038 146 ST,QUPA,Raised,"-73.792221, 40.671233"
128-039 130 AV,QUPA,Raised,"-73.747957, 40.684932"
128-039 INWOOD ST,QUPA,Raised,"-73.793097, 40.671413"
1280 ADEE AV,ACSA2,Raised,"-73.849742, 40.869399"
1280 ASTOR AV,OSVI,Raised,"-73.85, 40.859816"
1280 Avenue M,PLAC,Raised,"-73.962066, 40.617779"
1280 BUSHWICK AV,GLTR,Raised,"-73.913454, 40.686831"
1280 BX AND PELHAM S,QUPA,Raised,"1.0, 1.0"
1280 E 100 ST,PLAC,Raised,"-73.891393, 40.638934"
1280 E 102 ST,PLAC,Raised,"-73.889964, 40.639858"
1280 E 105 ST,QURU,Raised,"-73.887652, 40.641219"
1280 E 28 ST,PLAC,Raised,"-73.947532, 40.619855"
1280 E 53 ST,ACPL,Raised,"-73.924886, 40.627673"
1280 E 58 ST,PLAC,Raised,"-73.919615, 40.623342"
1280 E 86 ST,ACSA1,Raised,"-73.901942, 40.632115"
1280 E 86 ST,PLAC,Raised,"-73.901942, 40.632115"
1280 E 99 ST,ACPS,Raised,"-73.892111, 40.638478"
1280 GIVAN AV,ACPL,Raised,"-73.850087, 40.87317"
1280 GREENE AV,ULAM,Raised,"-73.920376, 40.697182"
1282 E 26 ST,PLAC,Raised,"-73.949375, 40.619601"
1282 E 31 ST,ACPL,Raised,"-73.944595, 40.620128"
1282 WARING AV,ACPL,Raised,"-73.849881, 40.86102"
1283 PARK PL,PLAC,Raised,"-73.934881, 40.672605"
1283 WARING AV,ULAM,Raised,"-73.849881, 40.86102"
1284 BX AND PELHAM S,QUPA,Raised,"1.0, 1.0"
1284 E 54 ST,PLAC,Raised,"-73.923785, 40.626502"
1284 E 84 ST,PLAC,Raised,"-73.903352, 40.631093"
1284 E 94 ST,TICO,Raised,"-73.900418, 40.639764"
1284 JEFFERSON AV,QUPA,Raised,"-73.912149, 40.692435"
1285 Avenue J,PLAC,Raised,"-73.963391, 40.624963"
1285 BX AND PELHAM N,QU,Raised,"1.0, 1.0"
1285 RICHMOND AV,PLAC,Raised,"-74.156385, 40.617012"
1285 SHAKESPEARE AV,GLTR,NA,"-73.922551, 40.839327"
1286 E 56 ST,PLAC,Raised,"-73.921641, 40.624355"
1286 NEW YORK AV,ACPL,Raised,"-73.94567, 40.641567"
1287 BX AND PELHAM N,QU,Raised,"1.0, 1.0"
1287 E 19 ST,ACPL,Raised,"-73.956357, 40.619054"
1287 E 54 ST,PLAC,Raised,"-73.923776, 40.626409"
1287 E 73 ST,PLAC,Raised,"-73.911672, 40.625936"
1287 SHAKESPEARE AV,QURU,NA,"-73.922545, 40.839366"
1288 E 93 ST,ACPL,Raised,"-73.901129, 40.63928"
1288 STERLING PL,GLTR,Raised,"-73.935971, 40.67175"
1288 WARING AV,ULAM,Raised,"-73.849643, 40.861016"
1289 CASTLETON AV,PYCA,NA,"-74.12558, 40.633886"
1289 E 19 ST,TICO,Raised,"-73.956348, 40.619005"
1289 E 46 ST,PLAC,Raised,"-73.931905, 40.629494"
1289 E 55 ST,PLAC,Raised,"-73.922719, 40.625311"
1289 Leif Ericson Dr,ACSA2,Raised,"1.0, 1.0"
1289 RICHMOND AV,PLAC,Raised,"-74.156451, 40.616894"
1289 SHAKESPEARE AV,QURU,NA,"-73.922539, 40.839404"
129 78 ST,PLAC,Raised,"-74.033258, 40.63038"
129 AMITY ST,QUPA,Raised,"-73.996294, 40.689272"
129 ASPINWALL ST,LIST,Raised,"-74.248361, 40.504923"
129 BAY 11 ST,ACPL,Raised,"-74.010757, 40.607926"
129 BEVERLEY RD,PLAC,Raised,"-74.076936, 40.600659"
129 BRYSON AV,ACRU,Raised,"-74.143936, 40.618748"
129 CEDAR GROVE CT,LIST,Raised,"-74.102098, 40.561575"
129 COLFAX AV,PLAC,NA,"-74.107396, 40.579639"
129 E 39 ST,PLAC,Raised,"-73.94129, 40.654341"
129 E 88 ST,PLAC,Raised,"-73.919089, 40.649723"
129 ELKHART ST,ACSA1,Raised,"-74.154571, 40.563026"
129 FOSTER AV,FRPE,Raised,"-73.976156, 40.627775"
129 GREENCROFT AV,ACRU,Raised,"-74.137306, 40.550589"
129 HAMDEN AV,ACSA1,NA,"-74.104736, 40.581124"
129 HIGHVIEW AV,PLAC,Raised,"-74.088403, 40.641797"
129 HOME PL,PLAC,NA,"-74.149594, 40.61847"
129 JAVA ST,ACRU,Raised,"-73.955679, 40.731501"
129 MAPLE PKWY,QUPA,Raised,"-74.156517, 40.630186"
129 MOFFAT ST,GLTR,Raised,"-73.907526, 40.686405"
129 N 4 ST,ACSA1,Raised,"-73.959918, 40.716427"
129 REDGRAVE AV,ACPL,Raised,"-74.135799, 40.552286"
129 TOWNSEND AV,PLAC,Raised,"-74.075395, 40.618624"
129 TYSEN ST,PLAC,Raised,"-74.099463, 40.642295"
129 VANDERBILT ST,ACPL,Raised,"-73.980202, 40.65195"
129 WASHINGTON AV,ACPS,Raised,"-74.136051, 40.598829"
129-001 107 AV,ACPL,Raised,"-73.814963, 40.686698"
129-001 11 AV,LIST,Raised,"-73.83915, 40.78782"
129-001 11 AV,QUPA,Raised,"-73.83915, 40.78782"
129-001 89 AV,ACSA1,Raised,"-73.822118, 40.699456"
129-001 89 AV,ACPL,NA,"-73.822118, 40.699456"
129-002 95 AV,ACSA2,Raised,"-73.81939, 40.694589"
129-004 129 ST,ULAM,NA,"1.0, 1.0"
129-006 7 AV,ACPL,Raised,"-73.838947, 40.790598"
129-006 89 AV,AREX,NA,"-73.822066, 40.699471"
129-010 142 ST,ACPS,Raised,"-73.798284, 40.671868"
129-012 11 AV,SOJA,Raised,"-73.839041, 40.787816"
129-014 11 AV,ACPL,Raised,"-73.839022, 40.787815"
129-018 89 AV,PLAC,NA,"-73.821961, 40.6995"
129-020 133 AV,ACRU,Raised,"-73.81006, 40.67044"
1290 E 49 ST,PLAC,Raised,"-73.929037, 40.629672"
1290 E 53 ST,PLAC,Raised,"-73.924856, 40.627392"
1290 E 56 ST,PLAC,Raised,"-73.921631, 40.624254"
1290 NEW YORK AV,ACSA1,Raised,"-73.945659, 40.641465"
1291 E 51 ST,PLAC,Raised,"-73.926984, 40.629399"
1291 E 52 ST,ACSA1,Raised,"-73.925947, 40.62847"
1291 E 53 ST,PLAC,Raised,"-73.924835, 40.627199"
1291 E 58 ST,PLAC,Raised,"-73.919583, 40.623038"
1291 GIVAN AV,ACPL,Raised,"-73.849785, 40.873265"
1291 SHAKESPEARE AV,QURU,NA,"-73.922534, 40.839443"
1292 E 48 ST,ACRU,Raised,"-73.929966, 40.629565"
1292 E 48 ST,ACPL,Raised,"-73.929966, 40.629565"
1292 E 51 ST,ACPL,Raised,"-73.926984, 40.629399"
1292 GIVAN AV,ACPL,Raised,"-73.849724, 40.873285"
1292 WARING AV,ACPL,Raised,"-73.849485, 40.861013"
1293 BOSTON RD,GLTR,Raised,"-73.900229, 40.83135"
1293 BX AND PELHAM N,QU,Raised,"1.0, 1.0"
1293 E 49 ST,ACPL,Raised,"-73.929026, 40.629572"
1293 REMSEN AV,ZESE,Raised,"-73.904078, 40.638527"
1293 SCHNECTADY AV,SOJA,Raised,"-73.932177, 40.641126"
1293 SHAKESPEARE AV,QURU,NA,"-73.922528, 40.839481"
1294 E 54 ST,PLAC,Raised,"-73.923759, 40.626255"
1295 BUSHWICK AV,GLTR,Raised,"-73.913061, 40.686607"
1295 E 51 ST,ACPL,Raised,"-73.926973, 40.629302"
1295 E 91 ST,ACPL,Raised,"-73.902263, 40.638091"
1296 E 51 ST,ACPL,Raised,"-73.926973, 40.629302"
1296 E 53 ST,PLAC,Raised,"-73.924838, 40.627224"
1296 E 55 ST,PLAC,Raised,"-73.922707, 40.625195"
1297 E 98 ST,PLAC,Raised,"-73.895844, 40.640687"
1297 SHAKESPEARE AV,PLAC,NA,"-73.922517, 40.839559"
1297 STERLING PL,PLAC,Raised,"-73.935643, 40.671733"
1298 E 91 ST,PLAC,Raised,"-73.902335, 40.638156"
1298 E 98 ST,PLAC,Raised,"-73.895844, 40.640687"
1298 REMSEN AV,PLAC,Raised,"-73.903942, 40.638401"
1299 BOSTON RD,GLTR,Raised,"-73.900112, 40.831429"
1299 E 58 ST,PLAC,Raised,"-73.919561, 40.622833"
13 ABERDEEN ST,PLAC,Raised,"-73.906664, 40.68132"
13 BRYSON AV,PLAC,Raised,"-74.143455, 40.622057"
13 CHESTERTON AV,LIST,Raised,"-74.133014, 40.561881"
13 COLLEGE PT BLVD,QUPA,Raised,"-73.845672, 40.787593"
13 CORBIN PL,ACPL,Raised,"-73.955082, 40.581675"
13 CRANBERRY ST,PLAC,Raised,"-73.994817, 40.700153"
13 DONGAN ST,GLTR,NA,"-74.124569, 40.637191"
13 E 77 ST,QUPH,Raised,"-73.964174, 40.77546"
13 E 88 ST,ACPL,Raised,"-73.920567, 40.65071"
13 FT CHARLES PL,ALJU,Raised,"-73.911188, 40.875754"
13 FT CHARLES PL,MORU,Raised,"-73.911188, 40.875754"
13 FT CHARLES PL,AIAL,Raised,"-73.911188, 40.875754"
13 GARDEN PL,GIBI,Raised,"-73.996117, 40.692904"
13 HAWTHORNE AV,PLAC,Raised,"-74.147176, 40.616725"
13 KEATS ST,ACSA1,Raised,"-74.141963, 40.552241"
13 KEATS ST,LIST,Raised,"-74.141963, 40.552241"
13 MONTAUK PL,ACPL,Raised,"-74.14714, 40.61067"
13 NOTRE DAME AV,ACPL,NA,"-74.157761, 40.551457"
13 O CONNER AV,ZESE,Raised,"1.0, 1.0"
13 OAKLAND AV,ULAM,Raised,"-74.112062, 40.639465"
13 PINEAPPLE ST,QUPA,Raised,"-73.99549, 40.698875"
13 PRESIDENT ST,QUPA,Raised,"-74.137104, 40.603998"
13 SAVIN CT,GLTR,Raised,"-74.092933, 40.596463"
13 STORY ST,PLAC,Raised,"-73.981677, 40.642714"
13 STUYVESANT AV,PLAC,Raised,"-73.934608, 40.695802"
13 WILLOW PL,PLAC,Raised,"-73.99779, 40.693226"
13-011 HEYSON RD,ACSA1,Raised,"-73.747247, 40.596198"
13-017 130 ST,ACPL,Raised,"-73.815984, 40.690338"
13-020 NAMEOKE AV,ACSA1,Raised,"-73.750261, 40.606717"
13-021 135 ST,ACPL,Raised,"-73.834065, 40.78734"
13-022 EGGERT PL,ACSA1,Raised,"-73.75863, 40.609351"
13-036 EGGERT PL,ACPL,Raised,"-73.75863, 40.609351"
13-044 EGGERT PL,ACPL,Raised,"-73.75863, 40.609351"
